"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1001069,324007,,,
1001073,155288,,,
1001074,113993,,,
1001076,697116,,,
1001077,205314,,,
1001081,101989,,,
1001083,150971,,,
1001085,353600,,,
1001095,191168,,,
1001097,130293,,,
1001102,170233,,,
1001103,136172,,,
1001105,508634,,,
1001111,106105,,,
1001112,514721,,,
1001114,593340,,,
1001117,891512,,,
1001118,593993,,,
1001119,705954,,,
1003023,179837,,,
1001123,859639,,,
1001124,184214,,,
1001125,913601,,,
1001130,913449,,,
1001029,182568,GEYS13_7_UNIT13,,73
1001038,112707,,SOLAR,250
1001098,900843,,,70
1001022,620765,,,50.4
1001122,517145,LMBEPK_2_UNITA3,,
1001078,133829,FORBST_7_UNIT 1,,
1000993,201370,,,241.54
1001035,219791,,,277
1001043,100454,,,139
1000990,166139,,,120
1001128,939640,,,100
1001058,187185,,,94.55
1001045,469821,,,69.13
1001005,131675,,,60
1001057,158082,,SOLAR,
1000958,119063,,,50
1001080,186146,,SOLAR,
1000978,361629,,SOLAR,
1001036,181841,,SOLAR,
1001064,117854,,SOLAR,
1001021,819841,,SOLAR,
1000944,819306,,SOLAR,
1000976,144521,,SOLAR,
1001072,105623,,SOLAR,
1000962,878195,,SOLAR,
1001007,193686,,SOLAR,
1000926,994055,,SOLAR,
1001075,153613,,SOLAR,
1001056,132762,,SOLAR,
1001002,882665,,SOLAR,
1001115,185580,,SOLAR,
1000961,206575,,SOLAR,
1000912,169786,,SOLAR,
1001113,204203,,SOLAR,
1000945,140623,,SOLAR,
1001089,496776,,SOLAR,
1001107,132196,,SOLAR,
1000946,121133,,SOLAR,
1001108,206218,,SOLAR,
1000919,695558,,SOLAR,
1001106,483196,,SOLAR,
1001104,177826,,SOLAR,
1001100,510222,,SOLAR,
1001008,417530,,SOLAR,
1000941,201021,,SOLAR,272.72
1001020,920866,,SOLAR,150
1000988,134860,,,133.67
1000932,421333,,,132
1001004,695464,,,131
1000924,458056,,SOLAR,125
1000991,905955,,SOLAR,95
1001044,118279,,SOLAR,100
1001041,854844,,SOLAR,90
1001131,804741,,,
1001133,945442,,,
1001134,147852,,,
1001135,115837,,,
1005010,133267,,,
1001137,903445,,,
1005011,178012,,,
1001142,678652,,,
1005012,548358,,,
1001144,115978,,,
1001145,672940,,,
1005013,887558,,,
1001148,737503,,,
1001149,397134,,,
1001153,975758,,,
1001157,143596,,,
1005014,209843,,,
1001160,181838,,,
1001161,141497,,,
1001162,850556,,,
1001164,708548,,,
1001165,211538,,,
1001166,853416,,,
1001167,147735,,,
1005015,224918,,,
1001169,142197,,,
1005016,138317,,,
1001171,133798,,,
1005017,114530,,,
1001173,277035,,,
1001174,202741,,,
1001175,192279,,,
1001176,814661,,,
1001177,474429,,,
1001178,188719,,,
1001180,429743,,,
1001181,203983,,,
1001182,471332,,,
1005018,965692,,,
1001185,599767,,,
1001186,539818,,,
1001187,487045,,,
1005019,492540,,,
1001191,731385,,,
1001193,540737,,,
1001243,279317,ALAMIT_7_UNIT 5,,350
1001195,934846,,,
1001300,213626,ELSEGN_2_UN1011,,274.31
1001197,206219,,,
1001202,922902,,,
1001203,120933,,,
1001151,452231,LAPLMA_2_UNIT 2,,266
1001205,636610,,,
1001206,973488,,,
1001207,978123,,,
1001208,977347,,,
1001214,282043,,,
1001154,205413,KERKH2_7_UNIT 1,,153.9
1001325,928918,BDGRCK_1_UNITS,,
1001217,901853,,,
1001218,110030,,,
1001220,111095,,,
1001222,838066,,,
1001302,702721,MKTRCK_1_UNIT 1,,
1001344,141208,TEHAPI_2_PW1WD1,,
1001226,905624,,,
1001192,528875,MIRLOM_6_PEAKER,,
1001231,220423,,,
1001232,640989,,,
1001233,131286,,,
1001234,643213,,,
1001237,279401,,,
1001239,187121,,,
1001241,163405,,,
1001242,169873,,,
1001244,951689,,,
1001245,662223,,,
1001247,705542,,,
1001250,155043,,,
1001253,978832,,,
1001256,553779,,,
1001261,411154,,,
1001262,725565,,,
1001267,192003,,,
1001270,193647,,,
1001271,988619,,,
1001275,368055,,,
1001279,176701,,,
1001282,713009,,,
1001283,179172,,,
1001284,506373,,,
1001286,199482,,,
1001288,111196,,,
1001289,911243,,,
1001291,442155,,,
1001295,181019,,,
1001297,189702,,,
1001298,566835,,,
1001299,140758,,,
1001301,493401,,,
1001303,117971,,,
1001305,749043,,,
1001306,209674,,,
1001308,125901,,,
1001309,506583,,,
1001310,328367,,,
1001311,301269,,,
1001312,719559,,,
1001313,555191,,,
1001315,269985,,,
1001317,187917,,,
1001319,971962,,,
1001320,501373,,,
1001321,835330,,,
1001322,156137,,,
1001323,209145,,,
1001324,100232,,,
1001326,148980,,,
1001328,164110,,,
1001331,768776,,,
1001332,434763,,,
1001333,714921,,,
1001336,171654,,,
1001337,117871,,,
1001338,438604,,,
1001339,829032,,,
1001342,115269,,,
1001348,569776,,,
1001349,823532,,,
1001350,431692,,,
1001352,302195,,,
1001354,568599,,,
1001355,771345,,,
1001356,574704,,,
1001255,100651,,,179.5
1001280,147614,,,105
1001211,195432,,,136
1001318,314410,,,132
1001150,932856,,,130
1001198,127378,,SOLAR,130
1001314,145917,,,57
1001210,360257,,,53.5
1001140,794449,,SOLAR,
1001225,984603,,SOLAR,
1001227,217748,,SOLAR,
1001163,607049,,SOLAR,
1001179,272419,,SOLAR,
1001292,159739,,SOLAR,
1001260,930682,,SOLAR,
1001273,530204,,SOLAR,
1001274,689985,,SOLAR,
1001146,122815,,SOLAR,
1001304,174984,,SOLAR,
1001190,865501,,SOLAR,
1001229,153266,,SOLAR,
1001213,134929,,SOLAR,
1001238,303420,,SOLAR,
1001200,279660,,SOLAR,
1001268,729409,,SOLAR,
1001290,348557,,SOLAR,
1001341,738714,,SOLAR,
1001276,487314,,SOLAR,
1001296,643248,,SOLAR,
1001335,141164,,SOLAR,
1001155,802728,,SOLAR,
1001138,152607,,SOLAR,
1001183,158253,,,275
1001330,181514,,,251
1001351,828238,,,169
1001199,198934,,,200
1001307,196895,,SOLAR,150
1001251,112563,,SOLAR,132
1001257,181027,,,127
1001293,457048,,,127
1001259,124574,,,126.42
1001158,896410,,,99.94
1001219,196140,,,85
1001209,742355,,,75
1001230,163454,,,75
1001221,895511,,,74.12
1001340,172299,,,66
1001152,761691,,,65
1001358,462662,,,
1001359,719695,,,
1001360,814109,,,
1005020,104975,,,
1001367,254978,ELSEGN_2_UN2021,,271.74
1001364,192439,,,
1001366,203395,,,
1001371,933740,,,
1001372,469107,,,
1001373,759903,,,
1001374,821492,,,
1001377,851896,,,
1001378,224523,,,
1001379,165103,,,
1001381,370756,,,
1001382,852445,,,
1001383,459739,,,
1001384,228662,,,
1001386,594295,,,
1001387,426166,,,
1001440,166981,GLNARM_7_UNIT 3,,
1001391,330686,,,
1001392,704706,,,
1001394,872873,,,
1001397,996913,,,
1001398,142344,,,
1001399,963491,,,
1001400,932117,,,
1001402,369878,,,
1001403,102401,,,
1001405,174755,,,
1001410,918097,,,
1001411,923750,,,
1001412,713609,,,
1001417,641072,,,
1001419,165699,,,
1001420,824020,,,
1001423,131777,,,
1001424,616561,,,
1001426,190442,,,
1003024,102954,,,
1001428,167814,,,
1001430,212198,,,
1001431,578735,,,
1001432,146204,,,
1001433,108961,,,
1001435,751159,,,
1001438,642579,,,
1001442,946116,,,
1001443,705694,,,
1001448,885501,,,
1001449,394616,,,
1001450,134809,,,
1001453,116789,,,
1001455,164138,,,
